Words,Definition,Category
Air Curtain Ventilation (acv),"A ventilation strategy employing high-velocity air jets to direct heat and contaminants toward an exhaust system, thereby enhancing contaminant capture and containment. typically, supply units are installed in a false ceiling or mounted on a wall. the air is directed downward along the wall, reaches the floor, and then spreads laterally. once spread, the airflow forms an effective barrier that segregates zones of fresh and contaminated air, channelling impurities toward the exhaust system.",Generic Terminology
Air Jet,"A high-velocity stream of air directed toward a specific area to influence thermal conditions and air quality. in air curtain systems, for example, the air jet directs heat and impurities toward an exhaust system",Generic Terminology
Background Pollutant Concentration,"Background pollutant concentration refers to the level of airborne contaminants present in an indoor environment as a result of the general background ventilation system. it represents the pollutant concentration maintained by central hvac systems, mechanical ventilation, infiltration, and other passive sources before additional personalized interventions are applied.",Generic Terminology
Concentration Distribution,"This term refers to the spatial variation of a contaminant's concentration within a given space. it results from the combined effects of contaminant generation, diffusion, and ventilation. for example, in a restroom setting, measurements might show that at a lower ventilation rate (e.g., ach=3.8), contaminants from a toilet stall diffuse broadly throughout the space. in contrast, at higher ventilation rates (e.g., ach=7.6 or 11.3), although contaminants still travel from the source to the exhaust, their spread is more confined, leading to a steeper gradient in concentration levels.",Generic Terminology
Confluent Jet Ventilation,"Confluent jet ventilation (cjv) involves the use of multiple jets that converge or interact to form a unified airflow pattern. this interaction can lead to more uniform air distribution and improved thermal comfort within the space. cjv systems are designed to combine the benefits of both mixing and displacement ventilation, offering enhanced control over airflow patterns and thermal conditions.",Generic Terminology
Contaminant Sources,"Contaminant source is the origin or location within an indoor space where pollutants are generated and released. its intensity and position determine how contaminants are distributed by airflow, influencing both local and overall indoor air quality.",Generic Terminology
Piston Ventilation,"Piston ventilation is a strategy where conditioned air is supplied at low velocities near the floor level, creating a ""piston"" effect. as the air absorbs heat from occupants and equipment, it becomes warmer and less dense, causing it to rise and carry contaminants upward. the warmer air is then extracted from the space at higher levels, typically near the ceiling. this method enhances indoor air quality and thermal comfort by effectively removing heat and pollutants from the occupied zone.",Generic Terminology
Cross Contamination,"In indoor air distribution, cross contamination refers to the unwanted transfer of air pollutants or contaminants (e.g., co₂, pathogens) from one occupant’s breathing zone to another, often influenced by airflow patterns and ventilation strategies.",Generic Terminology
Diffuse Ceiling Ventilation(dcv),"Diffuse ceiling ventilation (dcv) is a ventilation strategy where fresh air is supplied into the occupied zone through perforations or slots in the suspended ceiling panels. this method allows for the delivery of low-temperature air without causing drafts, thereby enhancing thermal comfort. the large opening area of the supply inlet enables the system to supply air at low velocities, ensuring a uniform distribution of fresh air throughout the room. this approach is particularly effective in utilizing the natural cooling potential of outdoor air, especially in cold and dry climates.",Generic Terminology
Diffusion of Air Contaminants,"Natural movement of air contaminants from their point of generation to the location where they are eventually removed, typically an exhaust opening. this process is driven by the random motion of contaminant molecules, causing them to spread out and move from areas of higher concentration (near the source) to areas of lower concentration (toward the exhaust).",Generic Terminology
Diffusion Range,"Diffusion range refers to the distance or area over which molecules, particles, or contaminants spread as a result of the process of diffusion. in the context of air quality, it indicates how far air contaminants (such as gases, particles, or odours) move from their point of origin as they naturally disperse in the surrounding air due to the random motion of their molecules.",Generic Terminology
Displacement Ventilation,"Displacement ventilation (dv) is a strategy where conditioned air is supplied at low velocities near the floor level. this cool air spreads across the floor, and as it absorbs heat from occupants and equipment, it becomes warmer and less dense. the buoyancy of the warm air causes it to rise, carrying contaminants upward and away from the breathing zone. the warmer air is then extracted from the space at higher levels, typically near the ceiling. this method enhances indoor air quality and thermal comfort by effectively removing heat and pollutants from the occupied zone.",Generic Terminology
Entrainment,"Entrainment is the process by which a fluid flow (such as air or water) draws in and transports surrounding fluid or particles. in ventilation systems, entrainment occurs when a high-velocity air stream induces the movement of ambient air, facilitating the removal of heat, moisture, and contaminants from a space.",Generic Terminology
Exposure Time,"The duration over which an individual is subjected to a given environmental condition or contaminant level. short exposure intervals may mitigate adverse health effects or discomfort, whereas prolonged exposures can elevate the risk of infection or thermal stress.",Generic Terminology
Impinge Jet Ventilation,"Type of background ventilation system - ijv delivers fresh air to a room based on the impinging jet principle (where a high-velocity jet of fluid, typically air, is directed towards a surface or an obstacle. when the jet strikes the surface, it spreads out radially along the surface, creating a distinct flow pattern). the supply device is the duct itself which delivers the supplied air at a certain height above the floor, and the air extraction is usually located at a high level near the ceiling",Generic Terminology
Intermittent Air Jet System,"an intermittent air jet system involves the periodic emission of high-velocity air jets directed toward the occupant's breathing zone. this approach enhances convective cooling by delivering bursts of cool air, effectively removing heat from the occupant's body and improving thermal comfort. the intermittent nature of the airflow allows for efficient cooling while minimizing energy consumption and preventing discomfort associated with continuous high-velocity air streams.",Generic Terminology
Intermittent Gusts,"Intermittent gusts are bursts of air that fluctuate at low frequencies, typically causing dynamic changes in thermal comfort. these changes in airspeed are perceived as cooling fluctuations that are more significant to comfort perception than steady, constant airflow. in natural ventilation systems, intermittent gusts can provide a more effective cooling experience by creating transient changes in the rate of cooling, influencing how occupants perceive comfort.",Generic Terminology
Local Exhaust Ventilation,"Local exhaust ventilation (lev) is a ventilation strategy that captures and removes airborne contaminants directly at their source, preventing their dispersion into the general workspace. this approach is commonly used in various industries to control exposure to hazardous substances, including dust, fumes, vapours, and gases. a typical lev system consists of a hood to capture contaminants, ducting to transport the contaminated air, an air cleaner or filter to remove pollutants, a fan to move the air, and an exhaust point to discharge the cleaned air safely.",Generic Terminology
Mixing Ventilation,"Mixing ventilation is a strategy where conditioned air is supplied at high velocities to a space, promoting the mixing of supply air with room air. this process results in a uniform distribution of air temperature, humidity, and quality throughout the room. mixing ventilation is commonly used in various applications, including offices, classrooms, and industrial spaces, to maintain consistent environmental conditions.",Generic Terminology
Passive Contaminants,"These are substances (such as tracer gases or pollutants) introduced into the airflow that do not participate in chemical reactions or influence the fluid dynamics. they are simply advected and diffused by the airflow, allowing researchers to study contaminant dispersion patterns without the added complexity of reactive behaviour.",Generic Terminology
Response Coefficient of Supply Air (rcsa),"An index that captures the effect of variable contaminant concentrations in the supply air on a particular point within the space. determined by releasing a “pulse” tracer gas at the supply inlet, rcsa quantifies how changes in the supply air concentration are reflected at the target location. a higher response coefficient implies that the supply air has a more pronounced impact on the local contaminant levels.",Generic Terminology
Stratum Ventilation (sv),"Stratum ventilation (sv) delivers conditioned air directly to the head level of occupants, creating a horizontal airflow at this level. this approach maintains a small temperature gradient within the occupied zone. by supplying air at elevated temperatures and higher velocities, sv allows for increased indoor air temperatures while still providing thermal comfort, thereby contributing to energy savings.",Generic Terminology
Ventilation Air Volume,"This is the total volume of fresh air supplied to a space over a given period, typically measured in cubic meters per second (or per hour). it is a key parameter in the design and evaluation of ventilation systems, ensuring that sufficient air is delivered to meet both thermal comfort and indoor air quality requirements.",Generic Terminology
Protection Efficiency,"Protection efficiency refers to the system's ability to shield occupants from environmental factors such as temperature extremes, pollutants, and drafts. pecs can achieve high protection efficiency by delivering conditioned air directly to the occupant's breathing zone, thereby enhancing thermal comfort and air quality.",Generic Terminology
Volumetric Exhaust Flow Rate,"This represents the volume of air removed from a space by the exhaust system per unit time, measured in similar units as the ventilation air volume. it is essential for maintaining proper air exchange, removing contaminants, and balancing the indoor pressure within the space.",Generic Terminology
Wall Attached Ventilation,"Wall-attached ventilation is a method of air distribution in which conditioned air is directed towards a vertical surface, creating a controlled airflow pattern that moves downwards, then spreads across the floor. this technique combines aspects of both displacement and mixing ventilation, forming a clean air layer at the floor level",Generic Terminology
Breathing Zone (bz),"The breathing zone (bz) refers to the immediate air space surrounding an individual's nose and mouth, typically within a 0.3 m (10-inch) radius, where inhaled air is directly drawn from",Generic Terminology
Confidence Interval,"In the context of the systematic review and meta-analysis, confidence intervals are used to express the uncertainty and precision of the estimated effects . the confidence interval provides a range around the point estimate that is likely to include the true population parameter, typically at a 95% confidence level. e.g. for a study on energy performance improvements due to a new technology, if the 95% confidence interval is calculated as [15%, 25%], this indicates that, based on given data, there is a 95% probability that the actual reduction in energy use is between 15% and 25%.",Generic Terminology
Draft,"Draft refers to the sensation of an unwanted or uncomfortable airflow, particularly when the air feels too cold or is moving too quickly, leading to discomfort",Generic Terminology
Draft Discomfort,"Draft discomfort is the sensation of unease or discomfort caused by air movement that is too strong, cold, or uneven in an indoor environment. it typically occurs when airflow, such as from a fan or ventilation system, directly hits certain parts of the body, leading to localized cooling or irritation.",Generic Terminology
Draught Risk,"The potential for discomfort caused by undesirable or excessive airflow in an indoor space, leading to sensations of cold or uncomfortable air movement. it relates to the likelihood that occupants will experience a chilling effect due to localized air currents moving at certain speeds or temperatures.",Generic Terminology
Dry Eye Discomfort,"Dry-eye discomfort refers to the irritation or discomfort experienced when the eyes become excessively dry, often due to exposure to air currents or low humidity",Generic Terminology
Effect Size (efs),"Effect size indicates the magnitude of the impact of pecs on occupant thermal sensation, comfort, or acceptability, based on available data such as means, standard deviations, and the number of participants. effect size helps to determine how strong or significant the observed effect is in relation to the overall population or sample.",Generic Terminology
Eye Dryness,"Eye dryness is a specific form of eye irritation characterized by insufficient tear production or increased tear evaporation, leading to a dry, gritty, or fatigued sensation in the eyes. it is commonly aggravated by air movement from ventilation systems, particularly when airflow is directed at the face, as well as by low indoor humidity and prolonged exposure to screen-based work. it can be assessed using a subjective percentage scale, with participants rating their irritation from 0% to 100%",Generic Terminology
Irritation of Eyes / Eyes Irritation,"Eye irritation refers to a subjective discomfort sensation in the eyes caused by environmental factors such as low humidity, air movement, thermal conditions, and indoor pollutants. it may manifest as redness, itching, burning, or excessive tearing. in the context of pecs, eye irritation is influenced by airflow direction, cooling intensity, and tear film stability, impacting overall occupant comfort. it can be assessed using a subjective percentage scale, with participants rating their irritation from 0% to 100%",Generic Terminology
Inhaled Air Temperature,"The temperature of the air entering an occupant’s respiratory system. studies indicate that cooler inhaled air can affect autonomic regulation, increasing heart rate variability (hrv) and potentially influencing thermal comfort and stress responses",Generic Terminology
