Words,Definition,Category
Air Distribution Index for Combined Thermal and Ventilation Effectiveness (adi)ϵt + ϵc,"The air distribution index (adi)ϵt + ϵc is a composite metric that simultaneously assesses thermal comfort and air quality in indoor environments. it is calculated by combining the thermal comfort number (nt.c.) and the air quality number (na.q.), which are derived from several key parameters.",Key Performance Indicators - Objective
Air Distribution Index for Combined Thermal and Ventilation Effectiveness (adi)ϵt + ϵc,"(adi)ϵt + ϵc = (1 - |s|/3) ϵt + (tn/tp) ϵc
 
 ∣s∣ is the absolute value of the average overall thermal sensation over the exposure time
 ​ϵt is the ventilation effectiveness for heat removal
 tn is the room time constant
 tp is the local mean age of air
 ​ϵc is the ventilation effectiveness for contaminant removal.",Key Performance Indicators - Objective
Air Dryness,"A subjective perception of how “dry” or “wet” the indoor air feels, primarily influenced by relative humidity. low humidity can lead to sensations of dryness (e.g., skin or throat irritation), whereas higher humidity may feel moist or clammy.",Key Performance Indicators - Subjective
Air Freshness,"A subjective perception of how “fresh” or “stuffy” the indoor air is. fresh air typically feels clean, odor-free, and well-ventilated, while stuffy air can feel stale or lacking in adequate ventilation.",Key Performance Indicators - Subjective
Air Movement Acceptability (ama),"Air movement acceptability refers to the degree to which building occupants find the airflow within an indoor environment comfortable and satisfactory. factors influencing air movement acceptability include air velocity, temperature, humidity, and individual preferences.",Key Performance Indicators - Subjective
Air Movement Preference Vote (amp),"The air movement preference (amp) vote is a subjective assessment used to gauge an individual's desire for changes in air movement within their immediate environment. typically, participants are asked to indicate their preference using a scale with options such as:
 
 ""less air movement""
 ""no change""
 ""more air movement""",Key Performance Indicators - Subjective
Alliesthesia,"A physiological concept describing the pleasure or pleasantness experienced when a thermal imbalance is corrected across body sites. it is divided into two forms:
 
 temporal alliesthesia: pleasure arising from whole-body changes in skin and/or core temperatures that correct a global thermal imbalance (e.g., moving from cold to warm).
 spatial alliesthesia: pleasure derived from local thermal stimuli on a specific body region that offset the general thermal state of the rest of the body.e.g., warming particular sites on an otherwise cool body surface",Thermophysiology
Ashrae Seven-point Thermal Sensation Scale,"Scale used to measure thermal sensation based on fanger's heat balance equation. the scale ranges from -3 to +3 and consists of the following verbal anchors: cold, cool, slightly cool, neutral, slightly warm, warm, and hot",Key Performance Indicators - Subjective
Average Equivalent Temperature (aet),"Calculated value that represents the average temperature experienced by an occupant's body, derived by considering the surface area-weighted average temperature of different body parts such as the head, feet, and abdomen.",Thermophysiology
Breathing Zone (bz),"The breathing zone (bz) refers to the immediate air space surrounding an individual's nose and mouth, typically within a 0.3 m (10-inch) radius, where inhaled air is directly drawn from",Generic Terminology
Clothing Evaporative Resistance,"A measure of how much clothing impedes moisture (sweat) from evaporating off the skin. lower evaporative resistance indicates that sweat can evaporate more easily, enhancing the wearer’s cooling and comfort.",Generic Terminology
Confidence Interval,"In the context of the systematic review and meta-analysis, confidence intervals are used to express the uncertainty and precision of the estimated effects . the confidence interval provides a range around the point estimate that is likely to include the true population parameter, typically at a 95% confidence level. e.g. for a study on energy performance improvements due to a new technology, if the 95% confidence interval is calculated as [15%, 25%], this indicates that, based on given data, there is a 95% probability that the actual reduction in energy use is between 15% and 25%.",Generic Terminology
Contact Area,"The region of direct interface between a seated individual’s body (e.g., buttocks and back) and the seat surfaces (cushion and backrest). in this zone, heat conduction dominates the thermal exchange, contrasting with non-contact areas where conduction is often negligible compared to convective and radiative heat transfer.",Thermophysiology
Convective Plume,"A buoyancy-driven upward flow of warmer air around heat sources—such as the human body—due to temperature gradients. in personalized ventilation design, the supply jet must overcome or work with these plumes to effectively deliver fresh air to the occupant’s breathing zone.",Generic Terminology
Cop,"In the context of pecs, cop is a device-level efficiency metric defined as the ratio of whole-body heat loss (or the beneficial thermal output) provided to the occupant, divided by the power input to the pecs. a higher cop indicates more energy-efficient thermal management.",Key Performance Indicators - Objective
Core Temperature,"Core temperature refers to the internal body temperature of a human, which is regulated by thermoregulatory mechanisms to maintain physiological stability. it represents the temperature of vital organs such as the brain, heart, and abdominal region, typically measured at sites like the oesophagus, rectum, or tympanic membrane.
 
 in the context of pecs, core temperature is a critical indicator of heat stress, thermal comfort, and metabolic heat balance. maintaining stable core temperature (around 36.5–37.5°c) is essential for human health, comfort, and cognitive performance.",Thermophysiology
Corrective Power - Sensation (cp-s) / Thermal Correction Capacity (sensation),Cp-s quantify the sensation differences between occupants with pecs and occupants without pecs (the reference condition),Key Performance Indicators - Subjective
Corrective Power (cp)/ Thermal Correction Capacity (tcc),"""cp is defined as difference between two ambient temperatures at which equal thermal sensation is achieved - one with no pecs (the reference condition), and one with pecs in use. cp represents the degree to which a pecs may “correct” the ambient temperature toward neutrality.""",Key Performance Indicators - Objective
Corrective Power Efficiency (cpe) / Thermal Correction Capacity Efficiency (tcce),The ratio of power consumed by pecs to its corrective power,Key Performance Indicators - Objective
Coupled Cfd - Thermoregulation Model,An integrated approach that combines cfd simulations with thermoregulation models to predict how a device/hardware/garment affects human thermal responses. this coupling allows for a comprehensive analysis of both the environmental factors and physiological processes influencing thermal comfort.,Modelling Techniques
Coupled Model,"When two models exchange data with each other so that they can evolve as a whole.
 
 e.g.- integration of a computational fluid dynamics (cfd) model with jos 3 thermoregulation model. ​ this integration allows for the analysis of the performance of air ventilation clothing by predicting heat transfer coefficients and physiological responses under different conditions.",Modelling Techniques
Distal Body Temperatures.,Distal body temperatures refer to the skin temperatures measured at the body’s extremities—such as the hands and feet—which are more responsive to environmental changes and local cooling interventions. these temperatures tend to fluctuate more significantly with changes in ambient conditions and are indicative of peripheral thermoregulatory responses.,Thermophysiology
Distal Skin Temperature,"Distal skin temperature refers to the temperature of the skin on the body's distal regions, such as the hands, fingers, feet, and toes. these areas are more sensitive to thermoregulation and serve as key indicators of peripheral blood circulation and thermal comfort.",Thermophysiology
Draft,"Draft refers to the sensation of an unwanted or uncomfortable airflow, particularly when the air feels too cold or is moving too quickly, leading to discomfort",Generic Terminology
Draft Discomfort,"Draft discomfort is the sensation of unease or discomfort caused by air movement that is too strong, cold, or uneven in an indoor environment. it typically occurs when airflow, such as from a fan or ventilation system, directly hits certain parts of the body, leading to localized cooling or irritation.",Generic Terminology
Draught Risk,"The potential for discomfort caused by undesirable or excessive airflow in an indoor space, leading to sensations of cold or uncomfortable air movement. it relates to the likelihood that occupants will experience a chilling effect due to localized air currents moving at certain speeds or temperatures.",Generic Terminology
Dry Eye Discomfort,"Dry-eye discomfort refers to the irritation or discomfort experienced when the eyes become excessively dry, often due to exposure to air currents or low humidity",Generic Terminology
Effect Size (efs),"Effect size indicates the magnitude of the impact of pecs on occupant thermal sensation, comfort, or acceptability, based on available data such as means, standard deviations, and the number of participants. effect size helps to determine how strong or significant the observed effect is in relation to the overall population or sample.",Generic Terminology
Effective Draught Temperature (edt),"Effective draught temperature (edt) is a parameter used to assess the comfort level of an indoor environment by considering both the air temperature and air movement. it is calculated as the difference between the local air temperature and the average room temperature, adjusted for the local air velocity. edt helps in evaluating the likelihood of occupants experiencing discomfort due to drafts, with lower values indicating a more comfortable environment.",Generic Terminology
Effective Temperature (et),Effective temperature (et) is a measure that combines both air temperature and humidity to represent the overall thermal comfort or sensation felt by an occupant.,Generic Terminology
Electrical Manikin Tests,"Experimental procedures that use a manikin equipped with electrical sensors. the manikin mimics the body’s heat exchange processes, allowing researchers to assess how different environmental factors like air temperature, humidity, and air movement affect thermal comfort, which is useful in evaluating energy performance and occupant comfort in indoor spaces.",Modelling Techniques
Electrodermal Activity,"A measure of the skin’s electrical conductance, influenced by sweat gland activity. eda is a common psychophysiological indicator of stress and is recorded via sensors placed on the skin.",Thermophysiology
Electroencephalography,"A non-invasive technique for measuring the brain’s electrical activity via electrodes on the scalp. it provides insights into cognitive states, alertness, and various aspects of brain function.",Thermophysiology
Energy Consumption of Pecs,"In the context of pecs, energy consumption is an index that quantifies the amount of energy utilized by pecs device to maintain or adjust comfort levels for individual occupants. it reflects the power used by localized heating, cooling, or ventilation devices and is used to evaluate the efficiency of pecs in personalized tailored thermal comfort.",Key Performance Indicators - Objective
Energy Cost,"Energy cost refers to the financial expense associated with the consumption of energy for operating systems, equipment, or processes",Key Performance Indicators - Objective
Energy Savings of Pecs,"Energy savings refers to the reduction in energy use that results from implementing more efficient technologies, systems, or practices within pecs. it indicates how much less energy is consumed compared to conventional systems, highlighting the improved efficiency of personalized environmental controls in providing occupant comfort.",Key Performance Indicators - Objective
Equivalent Contact Temperature (ect),"A theoretical, uniform-surface temperature used to represent how much conduction-based heat an occupant exchanges with a seat or other contact surface under near-zero air velocity. by matching the actual conductive heat flux—while simplifying or ignoring airflow effects—ect provides a straightforward way to evaluate local thermal comfort at the occupant–surface interface in seat-based/ contact based or similar pecs.",Thermophysiology
Equivalent Environment,"A conceptual, uniform reference environment that simulates the overall thermal sensation and heat exchange of the actual, non-uniform environment at the occupant–seat interface. in this equivalent environment, variations in air velocity and humidity are disregarded and active seat conditioning is disabled, so that heat transfer occurs solely by conduction. this simplification allows the conductive heat transfer in the equivalent environment to match the combined effects of conduction, moisture flow, and thermal conditioning observed in the real environment.",Thermophysiology
Equivalent Heat Flux (qect),"It is the theoretical heat flow in the contact area under the equivalent contact temperature conditions. this metric encapsulates the net conductive exchange that would occur if the environment were replaced by the simplified, uniform equivalent.",Thermophysiology
Equivalent Homogeneous Temperature (eht),"A scalar temperature that represents a complex, non-uniform thermal environment with a single, uniform value. eht is defined such that the overall heat exchange between the environment and the human body is equivalent to that occurring in the actual non uniform setting. in pecs applications, eht provides a simplified metric for assessing both local (contact area) and global thermal comfort by integrating the effects of various heat transfer processes into one representative temperature value.",Thermophysiology
Equivalent Temperature (et),"A general term describing the single temperature of a notional uniform environment in which a person (or body segment) would experience the same net heat loss as in the actual, non-uniform environment. standards such as din en iso 14505-2 formalize et for thermal comfort evaluations, originally focusing on non-contact areas but also adapted for seat-contact conditions.",Thermophysiology
Equivalent Temperature (manikin),"Manikin-based equivalent temperature (teq) is defined as the temperature of a uniform enclosure in which a
 thermal manikin with realistic skin surface temperatures would lose heat at the same rate as it would in the actual environment.",Thermophysiology
"Evaporative Heat Flux""","The rate of heat removal due to moisture evaporation (e.g., sweat) from the skin or clothing surfaces. this latent heat exchange becomes particularly important in warm or humid conditions where perspiration is a key factor in maintaining thermal balance.",Thermophysiology
Eye Dryness,"Eye dryness is a specific form of eye irritation characterized by insufficient tear production or increased tear evaporation, leading to a dry, gritty, or fatigued sensation in the eyes. it is commonly aggravated by air movement from ventilation systems, particularly when airflow is directed at the face, as well as by low indoor humidity and prolonged exposure to screen-based work. it can be assessed using a subjective percentage scale, with participants rating their irritation from 0% to 100%",Generic Terminology
Heart Rate Variability,"The variation in the time interval between consecutive heartbeats. hrv is an important indicator of autonomic nervous system activity, commonly used to assess stress, fatigue, and overall cardiovascular health.",Thermophysiology
Heat Flux by Permeation Into the Seat,"This term describes moisture-related heat transfer through vapor permeation into seat materials. it accounts for the diffusion of water vapor from the occupant’s skin/clothing into the seat structure, contributing to overall latent heat exchange at the contact area.",Thermophysiology
Heat Flux by Seat Heater,It is the thermal energy provided by an integrated seat heating element. this localized heating influences the occupant’s thermal sensation by elevating the contact surface temperature.,Thermophysiology
Heat Flux Through Clothing,"It is the net thermal energy passing through clothing layers between the skin and the environment or seat. in contact areas, conduction typically dominates, though convective and radiative components may also be present.",Thermophysiology
Heat Flux Through Seat,"It is the overall thermal energy transferred across seat layers from the occupant’s body to the ambient environment (or vice versa). it includes conductive, convective, and radiative components within the seat materials.",Thermophysiology
Heat Transfer Coefficient for Clothing – Contact Area,"This coefficient quantifies the rate of conductive heat transfer through clothing in the seat-contact region, reflecting how effectively heat flows across the garment layers where the body directly meets the seat.",Thermophysiology
Heat Transfer Coefficient for Seating – Contact Area,It characterizes the conductive heat transfer between the seat surface and occupant at the contact interface. this parameter depends on the thermal properties and thickness of the seat material.,Thermophysiology
Heating Performance of Pecs,"Heating performance of pecs refers to the system’s ability to deliver localized heating efficiently by targeting specific body areas, ensuring thermal comfort while minimizing energy use. it can be assessed based on metrics such as temperature correction capacity, corrective power, temperature correction capacity efficiency etc.",Key Performance Indicators - Objective
Incoming Heat Flux by Seat Ventilation,"it is the thermal energy introduced to the contact area via ventilated seat systems, typically aiming to cool or dry the occupant’s back and buttocks by delivering conditioned air into the seat microclimate.",Thermophysiology
Infrared Thermography,"Infrared thermography (irt) is a non-contact imaging technique that captures surface temperature variations using infrared radiation. in pecs research, it is used to assess skin temperature distribution, evaluate localized heating and cooling effectiveness, and monitor thermal interactions between occupants and their environment.",Generic Terminology
Inhaled Air Temperature,"The temperature of the air entering an occupant’s respiratory system. studies indicate that cooler inhaled air can affect autonomic regulation, increasing heart rate variability (hrv) and potentially influencing thermal comfort and stress responses",Generic Terminology
Irritation of Eyes / Eyes Irritation,"Eye irritation refers to a subjective discomfort sensation in the eyes caused by environmental factors such as low humidity, air movement, thermal conditions, and indoor pollutants. it may manifest as redness, itching, burning, or excessive tearing. in the context of pecs, eye irritation is influenced by airflow direction, cooling intensity, and tear film stability, impacting overall occupant comfort. it can be assessed using a subjective percentage scale, with participants rating their irritation from 0% to 100%",Generic Terminology
